Action,Item,Open Rate,Open Time,Close Rate,Close Time,Net Profit,Profile
Buy,SPX500,4134.29,2021-04-21T10:07:08.427Z,4144.79,2021-04-21T14:11:26.977Z,5.08,fijnje
Buy,DJ30,33820.35,2021-04-21T10:07:15.01Z,33947.85,2021-04-21T14:11:17.12Z,7.54,fijnje
Buy,DJ30,33837.75,2021-04-20T16:15:32.363Z,33841.85,2021-04-21T08:31:34.653Z,0.24,fijnje
Buy,SPX500,4134.58,2021-04-20T16:15:21.27Z,4136.04,2021-04-20T19:48:43.84Z,0.705,fijnje
Buy,NASDAQ100,13810.65,2021-04-20T16:15:26.753Z,13814.65,2021-04-20T19:48:38.137Z,0.58,fijnje
Buy,SPX500,4166.06,2021-04-19T14:09:53.123Z,4166.09,2021-04-19T20:12:38.877Z,0.015,fijnje
Buy,DJ30,34102.75,2021-04-19T13:57:07.753Z,34106.75,2021-04-19T20:08:18.19Z,0.235,fijnje
Buy,DJ30,34014.25,2021-04-19T14:10:04.337Z,34068.75,2021-04-19T19:56:55.91Z,3.205,fijnje
Buy,Litecoin,314.77,2017-12-21T16:35:05.5Z,311.5,2021-04-16T19:56:19.94Z,-1.085,fijnje
Buy,SPX500,4174.47,2021-04-16T14:03:36.133Z,4186.56,2021-04-16T19:46:59.93Z,5.795,fijnje
Buy,NASDAQ100,14001.65,2021-04-16T14:05:19.257Z,14032.25,2021-04-16T19:46:55.557Z,4.37,fijnje
Buy,DJ30,34161.95,2021-04-16T14:03:42.403Z,34214.25,2021-04-16T19:46:51.133Z,3.06,fijnje
Buy,SPX500,4180.47,2021-04-16T13:34:58.343Z,4178.97,2021-04-16T13:42:56.817Z,-0.72,fijnje
Buy,DJ30,34025.95,2021-04-16T05:21:06.98Z,34215.95,2021-04-16T13:41:23.683Z,11.17,fijnje
Buy,SPX500,4166.22,2021-04-16T05:20:48.737Z,4179.47,2021-04-16T13:32:18.867Z,6.36,fijnje
Buy,NASDAQ100,14054.4,2021-04-16T12:29:11.163Z,14051.3,2021-04-16T13:01:09.26Z,-0.44,fijnje
Buy,NASDAQ100,13995.3,2021-04-16T05:20:59.983Z,14004.8,2021-04-16T11:00:13.08Z,1.36,fijnje
Buy,NASDAQ100,13995.5,2021-04-16T05:21:01.093Z,13991.5,2021-04-16T05:21:40.203Z,-0.572,fijnje
Buy,SPX500,4167.39,2021-04-15T17:32:41.373Z,4169.72,2021-04-15T19:54:37.15Z,1.12,fijnje
Buy,DJ30,34003.35,2021-04-15T17:32:47.707Z,34024.95,2021-04-15T19:54:33.07Z,1.27,fijnje
Buy,NASDAQ100,14020.25,2021-04-15T18:00:16.307Z,14026.15,2021-04-15T19:54:27.833Z,0.84,fijnje
Buy,Litecoin,285.59,2017-12-14T20:25:53.613Z,279.0,2021-04-15T16:38:21.11Z,-2.408,fijnje
Buy,NASDAQ100,14004.0,2021-04-14T13:22:05.517Z,14013.75,2021-04-15T15:08:05.98Z,1.39,fijnje
Buy,NASDAQ100,13974.95,2021-04-14T13:34:48.413Z,13985.45,2021-04-15T14:15:54.287Z,1.505,fijnje
Buy,DJ30,33809.05,2021-04-14T18:04:20.887Z,33968.05,2021-04-15T14:01:13.583Z,9.405,fijnje
Buy,DJ30,33669.05,2021-04-14T13:21:23.253Z,33969.55,2021-04-15T14:01:11.717Z,17.852,fijnje
Buy,SPX500,4139.98,2021-04-14T13:21:17.75Z,4151.48,2021-04-15T14:01:06.27Z,5.556,fijnje
Buy,SPX500,4132.57,2021-04-14T18:04:35.073Z,4151.48,2021-04-15T14:01:04.34Z,9.15,fijnje
Buy,NASDAQ100,13901.65,2021-04-14T15:43:31.663Z,13960.25,2021-04-15T14:00:19.47Z,8.43,fijnje
Buy,NASDAQ100,13811.05,2021-04-12T17:46:32.823Z,13810.55,2021-04-12T19:56:09.18Z,-0.07,fijnje
Buy,SPX500,4124.53,2021-04-12T17:46:13.437Z,4126.9,2021-04-12T19:56:03.07Z,1.15,fijnje
Buy,DJ30,33704.85,2021-04-12T17:46:18.447Z,33741.85,2021-04-12T19:55:57.677Z,2.195,fijnje
Buy,NASDAQ100,13676.6,2021-04-09T13:11:47.827Z,13770.75,2021-04-09T16:35:39.28Z,13.77,fijnje
Buy,DJ30,33558.05,2021-04-09T13:11:55.95Z,33592.25,2021-04-09T16:35:35.07Z,2.04,fijnje
Buy,SPX500,4094.52,2021-04-09T13:11:43.39Z,4106.08,2021-04-09T16:35:30.99Z,5.645,fijnje
Buy,DJ30,33451.15,2021-04-08T18:22:48.057Z,33527.05,2021-04-08T20:04:38.283Z,4.54,fijnje
Buy,NASDAQ100,13744.75,2021-04-08T18:10:16.233Z,13771.5,2021-04-08T20:04:33.89Z,3.89,fijnje
Buy,SPX500,4095.08,2021-04-08T18:10:09.957Z,4101.52,2021-04-08T20:04:29.043Z,3.145,fijnje
Buy,DJ30,33497.85,2021-04-06T15:08:19.457Z,33453.65,2021-04-07T20:04:35.06Z,-2.64,fijnje
Buy,SPX500,4080.86,2021-04-07T14:59:56.877Z,4081.88,2021-04-07T18:08:31.57Z,0.5,fijnje
Buy,NASDAQ100,13621.75,2021-04-07T14:22:47.67Z,13629.15,2021-04-07T18:08:22.36Z,1.085,fijnje
Buy,DJ30,33380.05,2021-04-07T15:46:59.323Z,33431.65,2021-04-07T18:04:01.11Z,3.09,fijnje
Buy,NASDAQ100,13598.25,2021-04-07T15:46:54.52Z,13618.65,2021-04-07T18:03:51.43Z,3.0,fijnje
Buy,SPX500,4073.76,2021-04-07T15:46:49.357Z,4079.38,2021-04-07T18:03:45.277Z,2.76,fijnje
Buy,DJ30,33447.15,2021-04-07T14:21:07.8Z,33466.65,2021-04-07T14:32:33.55Z,1.165,fijnje
Buy,SPX500,4076.73,2021-04-07T06:15:33.357Z,4081.36,2021-04-07T14:32:27.193Z,2.27,fijnje
Buy,SPX500,4080.76,2021-04-06T15:08:09.937Z,4081.11,2021-04-07T14:32:24.807Z,0.17,fijnje
Buy,NASDAQ100,13613.35,2021-04-06T15:08:15.147Z,13614.35,2021-04-07T14:15:13.737Z,0.145,fijnje
Buy,NASDAQ100,13601.4,2021-04-07T08:02:07.22Z,13612.35,2021-04-07T14:15:01.16Z,1.61,fijnje
Buy,NASDAQ100,13542.15,2021-04-07T13:38:42.873Z,13613.85,2021-04-07T14:14:59.15Z,10.59,fijnje
Buy,DJ30,33468.15,2021-04-07T06:15:40.207Z,33491.15,2021-04-07T13:34:38.7Z,1.375,fijnje
Buy,SPX500,4075.76,2021-04-06T17:33:36.86Z,4074.73,2021-04-06T20:45:29.96Z,-0.505,fijnje
Buy,NASDAQ100,13579.15,2021-04-06T17:33:43.39Z,13593.65,2021-04-06T19:37:20.327Z,2.135,fijnje
Buy,DJ30,33462.35,2021-04-06T17:33:49.247Z,33465.75,2021-04-06T18:58:49.273Z,0.205,fijnje
Buy,NASDAQ100,13608.3,2021-04-06T12:33:32.37Z,13609.25,2021-04-06T14:07:17.033Z,0.14,fijnje
